,mach_id,prod_id,bmc_id,jdlink_rgstn_ts,factory,mdl_yr,last_end_cptr_tm,series_nm,decal_model_nm
0,2291,9573,1572,2019-02-19 10:21:06.854815,Idaho,2019,2019-02-19 10:21:06.854815,X,S790
1,1373,5764,2837,2019-02-14 06:24:31.905844,Puerto Rico,2018,2019-02-14 06:24:31.905844,X, X9 1100
2,4473,7633,2578,2019-09-09 02:17:25.165808,Colorado,2019,2019-09-09 02:17:25.165808,S, X9 1100
3,7446,9189,1758,2019-01-13 09:21:53.311284,West Virginia,2019,2019-01-13 09:21:53.311284,X, X9 1100
4,9789,9560,667,2020-04-04 05:06:54.570078,Montana,2012,2020-04-04 05:06:54.570078,T, X9 1100
5,5496,885,5265,2019-04-23 01:30:44.928734,Alaska,2014,2019-04-23 01:30:44.928734,X,S790
6,4198,6057,7256,2019-01-18 08:53:42.035050,Virgin Islands,2012,2019-01-18 08:53:42.035050,T,S790
7,336,7242,9319,2020-09-20 06:45:41.079101,Kentucky,2018,2020-09-20 06:45:41.079101,T,S790
8,145,6121,5872,2020-11-17 07:25:31.644596,Virginia,2012,2020-11-17 07:25:31.644596,X,S790
9,7343,9741,5777,2020-08-18 04:20:04.214722,Maryland,2014,2020-08-18 04:20:04.214722,S,S790
10,4471,1403,3262,2020-06-20 11:49:42.052895,Tennessee,2013,2020-06-20 11:49:42.052895,S,S790
11,6568,5280,1462,2019-10-17 01:09:56.301723,District ,2013,2019-10-17 01:09:56.301723,W, X9 1100
12,3542,5041,7296,2020-08-20 10:19:33.292320,Arkansas,2014,2020-08-20 10:19:33.292320,S,S790
13,2089,5408,8938,2020-06-13 05:22:22.482350,Missouri,2014,2020-06-13 05:22:22.482350,T,S790
14,3795,8799,8535,2019-01-23 06:44:03.482831,California,2015,2019-01-23 06:44:03.482831,W,S790
15,208,710,9958,2020-08-08 09:18:09.428651,West Virginia,2019,2020-08-08 09:18:09.428651,X,S790
16,4765,7887,9495,2019-03-14 04:52:05.438033,Ohio,2010,2019-03-14 04:52:05.438033,X, X9 1100
17,1249,8334,4407,2019-02-08 07:23:47.881069,Colorado,2017,2019-02-08 07:23:47.881069,X, X9 1100
18,2387,3880,5764,2019-11-20 00:38:31.928422,Tennessee,2011,2019-11-20 00:38:31.928422,X,S790
19,4553,4500,8323,2020-10-12 09:19:54.273692,Texas,2017,2020-10-12 09:19:54.273692,T, X9 1100
20,8396,749,7538,2019-06-19 09:53:19.129106,Rhode Island,2019,2019-06-19 09:53:19.129106,S, X9 1100
21,2386,1152,7317,2019-02-08 09:13:33.384056,New York,2018,2019-02-08 09:13:33.384056,S,S790
22,4715,393,2760,2020-05-20 00:04:31.184701,Massachusetts,2017,2020-05-20 00:04:31.184701,W,S790
23,8329,4835,4748,2019-07-13 06:50:13.766453,Minnesota,2016,2019-07-13 06:50:13.766453,X, X9 1100
24,1806,2841,4168,2019-10-17 08:37:25.400071,Tennessee,2014,2019-10-17 08:37:25.400071,X,S790
25,8896,1392,6193,2020-11-05 05:52:55.542240,Kansas,2018,2020-11-05 05:52:55.542240,S,S790
26,3776,7357,1147,2019-01-02 08:31:46.676965,Maine,2020,2019-01-02 08:31:46.676965,T,S790
