,cnfgr_msrmt_id,elmt_seq_num,beg_cptr_ts,end_cptr_ts,msrmt_duration_in_min,val,val_cnt,msrmt_typ_dsc,agrgtn_typ_dsc,msrmt_dsc,dim_dsc,uom,elmt_dsc,msrmt_nm
0,506,2,2019-05-16 04:20:55.793838,2019-05-16 09:10:47.111667,289.85,4.8308333333333335,5,last,8,8,max val,seconds,9,bucket5
1,651,1,2019-11-04 04:27:44.327037,2019-11-04 06:39:40.662395,131.93333333333334,2.198888888888889,18,min val,1,0,max val,KPH,0,bucket2
2,483,2,2020-04-09 11:05:41.049571,2020-04-09 04:00:15.174454,1014.5666666666667,16.909444444444446,16,timer,6,3,max val,KPH,2,bucket3
3,220,2,2019-05-18 09:41:14.485965,2019-05-18 10:45:31.188822,64.26666666666667,1.0711111111111111,8,max val,7,0,min val,seconds,6,bucket5
4,761,0,2019-01-18 10:33:49.752056,2019-01-18 11:46:53.430967,73.05,1.2175,14,timer,0,7,max val,seconds,6,bucket4
5,184,2,2020-10-04 06:51:46.770294,2020-10-04 11:09:54.163527,258.1166666666667,4.301944444444445,9,max val,0,5,max val,seconds,6,bucket4
6,276,2,2020-11-02 07:21:29.077083,2020-11-02 03:57:14.726815,1235.75,20.595833333333335,2,integral,3,7,min val,KPH,4,bucket5
7,174,2,2019-04-04 08:36:31.326512,2019-04-04 11:15:49.413914,159.3,2.6550000000000002,14,integral,0,3,integral,seconds,5,bucket1
8,331,2,2019-08-17 07:06:17.577458,2019-08-17 02:06:20.831554,1140.05,19.000833333333333,12,last,6,3,last,seconds,2,bucket3
9,166,1,2020-09-05 10:53:24.938446,2020-09-05 10:06:36.156629,1393.1833333333334,23.219722222222224,19,last,9,4,timer,seconds,4,bucket5
10,230,2,2019-06-19 04:32:01.394635,2019-06-19 07:42:42.104182,190.66666666666666,3.1777777777777776,5,min val,6,9,timer,seconds,5,bucket4
11,986,1,2020-08-13 08:23:13.103142,2020-08-13 02:52:15.290217,1109.0333333333333,18.483888888888888,14,max val,2,2,integral,KPH,1,bucket4
12,413,1,2019-01-15 07:12:08.213041,2019-01-15 04:19:40.617143,1267.5333333333333,21.125555555555554,17,min val,9,1,last,KPH,0,bucket5
13,440,1,2019-10-11 00:37:47.150675,2019-10-11 07:38:48.294729,421.01666666666665,7.016944444444444,3,last,7,4,integral,seconds,1,bucket4
14,964,2,2020-04-12 07:54:23.372192,2020-04-12 10:01:02.777544,126.65,2.1108333333333333,1,min val,1,4,max val,seconds,1,bucket2
15,168,1,2019-04-06 02:22:55.123790,2019-04-06 03:25:07.558275,62.2,1.0366666666666666,6,last,0,2,timer,seconds,2,bucket5
16,147,1,2020-01-02 11:31:44.280771,2020-01-02 11:31:25.869994,1439.6833333333334,23.994722222222222,17,timer,3,4,min val,seconds,4,bucket4
17,686,0,2019-10-18 04:06:35.491645,2019-10-18 03:38:21.632309,1411.7666666666667,23.529444444444444,13,last,5,3,timer,seconds,2,bucket2
18,222,2,2019-10-23 09:28:46.513656,2019-10-23 01:47:00.347731,978.2166666666667,16.303611111111113,7,min val,1,6,last,KPH,0,bucket3
19,792,0,2020-06-12 04:22:30.921465,2020-06-12 07:09:26.200928,166.91666666666666,2.781944444444444,15,integral,3,9,max val,KPH,2,bucket4
20,640,2,2020-06-19 01:10:34.918398,2020-06-19 03:39:55.301276,149.33333333333334,2.488888888888889,13,min val,1,4,timer,KPH,7,bucket4
21,242,0,2019-08-18 08:42:57.508857,2019-08-18 06:28:17.502695,1305.3166666666666,21.755277777777778,11,min val,3,7,timer,KPH,8,bucket3
22,808,2,2020-05-08 03:02:50.606576,2020-05-08 01:20:12.230983,1337.35,22.289166666666667,9,integral,3,4,max val,seconds,0,bucket4
23,839,1,2019-10-04 06:58:01.275027,2019-10-04 01:46:29.218477,1128.45,18.8075,16,max val,4,0,timer,KPH,8,bucket3
24,640,1,2019-01-02 06:16:00.830477,2019-01-02 02:38:20.496869,1222.3166666666666,20.371944444444445,0,last,5,0,max val,KPH,7,bucket1
25,186,2,2020-01-15 10:02:00.261346,2020-01-15 10:15:42.308162,13.7,0.22833333333333333,16,max val,9,3,last,KPH,5,bucket5
26,401,1,2019-05-20 06:00:53.596550,2019-05-20 01:57:30.078975,1196.6,19.94333333333333,1,timer,7,3,integral,seconds,2,bucket3
27,898,2,2020-08-20 00:15:19.319331,2020-08-20 02:46:44.926007,151.41666666666666,2.523611111111111,13,last,9,2,min val,KPH,3,bucket3
28,920,2,2020-11-01 03:39:10.998634,2020-11-01 00:29:19.225397,1250.1333333333334,20.83555555555556,19,timer,2,7,max val,KPH,4,bucket5
29,989,0,2020-04-20 03:17:32.706263,2020-04-20 11:47:21.501216,509.8,8.496666666666666,8,integral,3,1,min val,KPH,2,bucket4
30,532,2,2020-02-03 00:20:57.115391,2020-02-03 11:44:00.127547,683.05,11.384166666666665,17,min val,0,6,integral,KPH,5,bucket4
31,169,0,2020-04-02 06:20:43.907798,2020-04-02 07:50:14.355006,89.5,1.4916666666666667,7,timer,5,4,max val,seconds,3,bucket3
32,558,2,2019-11-05 11:44:11.318647,2019-11-05 01:48:35.629755,844.4,14.073333333333332,0,last,0,3,max val,KPH,1,bucket3
33,144,2,2019-07-12 00:27:25.908727,2019-07-12 07:53:15.497650,445.81666666666666,7.4302777777777775,17,last,0,9,min val,KPH,3,bucket2
34,496,2,2019-04-21 04:12:26.658639,2019-04-21 09:54:00.536864,341.55,5.6925,19,timer,9,9,timer,seconds,3,bucket4
35,384,2,2019-04-21 10:42:29.574063,2019-04-21 04:35:17.858273,1072.8,17.88,17,min val,7,9,min val,seconds,9,bucket4
36,610,1,2020-01-20 04:06:28.587198,2020-01-20 01:24:56.326361,1278.45,21.3075,8,last,3,5,last,KPH,7,bucket1
37,562,1,2020-06-08 11:50:14.500481,2020-06-08 01:55:42.679529,845.4666666666667,14.091111111111111,10,timer,7,6,min val,seconds,9,bucket5
38,254,2,2020-05-05 07:50:25.890702,2020-05-05 00:21:29.875489,991.05,16.5175,8,timer,3,9,last,seconds,9,bucket2
39,53,1,2019-06-10 09:48:48.680791,2019-06-10 11:00:25.585984,71.6,1.1933333333333331,8,timer,4,8,max val,KPH,5,bucket4
40,366,2,2019-10-02 02:16:51.954526,2019-10-02 02:39:32.132630,22.666666666666668,0.3777777777777778,19,timer,6,7,integral,seconds,3,bucket2
41,59,1,2020-06-22 02:50:37.632711,2020-06-22 05:11:46.140038,141.13333333333333,2.352222222222222,4,last,9,9,min val,KPH,9,bucket1
